Year,Country/Territory,Forecasted_Population
2016,China,1402820267
2017,China,1411925084
2018,China,1421029902
2019,China,1430134719
2020,China,1439239537
2021,China,1448344355
2022,China,1457449172
2023,China,1466553990
2024,China,1475658808
2025,China,1484763625
2026,China,1493868443
2027,China,1502973261
2028,China,1512078078
2029,China,1521182896
2030,China,1530287714
2031,China,1539392531
2032,China,1548497349
2033,China,1557602166
2034,China,1566706984
2035,China,1575811802
2036,China,1584916619
2037,China,1594021437
2038,China,1603126255
2039,China,1612231072
2040,China,1621335890
2016,India,1339317082
2017,India,1355767659
2018,India,1372218236
2019,India,1388668813
2020,India,1405119390
2021,India,1421569967
2022,India,1438020544
2023,India,1454471121
2024,India,1470921698
2025,India,1487372275
2026,India,1503822852
2027,India,1520273429
2028,India,1536724006
2029,India,1553174583
2030,India,1569625160
2031,India,1586075737
2032,India,1602526314
2033,India,1618976891
2034,India,1635427468
2035,India,1651878045
2036,India,1668328622
2037,India,1684779199
2038,India,1701229776
2039,India,1717680353
2040,India,1734130930
